PART NUMBER;PART NAME;ORDER;SHIP TO;SHIP TO NAME;ORDER DATE;ORDER VERSION;N;N+1;N+2;N+3;N+4;N+5;N+6
005167;GARN R-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Jan-25;10;240;420;450;216;306;297;333
005167;GARN R-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Feb-25;10;330;870;330;147;252;333;381
005167;GARN R-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Mar-25;10;270;960;390;480;30;330;390
005167;GARN R-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Apr-25;10;930;120;120;42;81;90;90
005167;GARN R-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Mei-25;10;120;180;180;198;261;312;288
005167;GARN R-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Jun-25;10;120;240;270;189;312;288;207
005167;GARN R-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Jul-25;10;240;240;360;324;357;246;168
005167;GARN R-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Agu-25;10;240;270;390;492;255;168;45
005167;GARN R-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Sep-25;10;270;90;240;210;258;72;0
005167;GARN R-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Okt-25;10;90;60;90;63;117;0;0
005168;GARN L-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Jan-25;10;240;420;450;216;306;297;333
005168;GARN L-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Feb-25;10;330;870;330;147;252;333;381
005168;GARN L-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Mar-25;10;270;960;390;480;30;330;390
005168;GARN L-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Apr-25;10;930;120;120;42;81;90;90
005168;GARN L-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Mei-25;10;120;180;180;198;261;312;288
005168;GARN L-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Jun-25;10;120;240;270;189;312;288;207
005168;GARN L-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Jul-25;10;240;240;360;324;357;246;168
005168;GARN L-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Agu-25;10;240;270;390;492;255;168;45
005168;GARN L-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Sep-25;10;270;90;240;210;258;72;0
005168;GARN L-FR SIDE OUT SSUV;ORDER;HPML;HPM LOKAL;Okt-25;10;90;60;90;63;117;0;0
